"contractYear","tokenPool","usageCategory","usageDate","productLineCode","productName","tokensConsumed",
1,"CY","CLOUD_PRODUCT",2016-01-01 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-01 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-01 00:00:00,"FORMIT","FormIt Pro",140.0,
1,"CY","CLOUD_PRODUCT",2016-01-01 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-02 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",56.0,
1,"CY","CLOUD_PRODUCT",2016-01-02 00:00:00,"EGLPRM","EAGLE - Premium",16.0,
1,"CY","CLOUD_PRODUCT",2016-01-02 00:00:00,"F360PRO","Fusion 360 - Ultimate",49.0,
1,"CY","CLOUD_PRODUCT",2016-01-02 00:00:00,"FORMIT","FormIt Pro",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-03 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-03 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-04 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-04 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-04 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-04 00:00:00,"FORMIT","FormIt Pro",34.0,
1,"CY","CLOUD_PRODUCT",2016-01-04 00:00:00,"IW360P","InfraWorks",13.0,
1,"CY","CLOUD_PRODUCT",2016-01-05 00:00:00,"EGLPRM","EAGLE - Premium",240.0,
1,"CY","CLOUD_PRODUCT",2016-01-05 00:00:00,"F360PRO","Fusion 360 - Ultimate",60.0,
1,"CY","CLOUD_PRODUCT",2016-01-05 00:00:00,"FORMIT","FormIt Pro",50.0,
1,"CY","CLOUD_PRODUCT",2016-01-05 00:00:00,"IW360P","InfraWorks",6.0,
1,"CY","CLOUD_PRODUCT",2016-01-06 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-06 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-06 00:00:00,"FORMIT","FormIt Pro",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-06 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-07 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",25.0,
1,"CY","CLOUD_PRODUCT",2016-01-07 00:00:00,"F360PRO","Fusion 360 - Ultimate",9.0,
1,"CY","CLOUD_PRODUCT",2016-01-07 00:00:00,"FORMIT","FormIt Pro",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-07 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-08 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-08 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-08 00:00:00,"F360PRO","Fusion 360 - Ultimate",248.0,
1,"CY","CLOUD_PRODUCT",2016-01-08 00:00:00,"FORMIT","FormIt Pro",90.0,
1,"CY","CLOUD_PRODUCT",2016-01-08 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-09 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-09 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-10 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-10 00:00:00,"FORMIT","FormIt Pro",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-11 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-11 00:00:00,"F360PRO","Fusion 360 - Ultimate",96.0,
1,"CY","CLOUD_PRODUCT",2016-01-11 00:00:00,"FORMIT","FormIt Pro",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-11 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-12 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-12 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-12 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-12 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2016-01-13 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",24.0,
1,"CY","CLOUD_PRODUCT",2016-01-13 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
